country,iso2c,iso3c,year,military,education,health
Germany,DE,DEU,2021,2.59966304341322,8.84707832336426,NA
Germany,DE,DEU,2022,2.74617276506781,NA,NA
Italy,IT,ITA,1960,NA,NA,NA
Italy,IT,ITA,1961,NA,NA,NA
Italy,IT,ITA,1962,NA,NA,NA
Italy,IT,ITA,1963,NA,NA,NA
Italy,IT,ITA,1964,NA,NA,NA
Italy,IT,ITA,1965,NA,NA,NA
Italy,IT,ITA,1966,NA,NA,NA
Italy,IT,ITA,1967,NA,NA,NA
Italy,IT,ITA,1968,NA,NA,NA
Italy,IT,ITA,1969,NA,NA,NA
Italy,IT,ITA,1970,NA,NA,NA
Italy,IT,ITA,1971,NA,NA,NA
Italy,IT,ITA,1972,NA,NA,NA
Italy,IT,ITA,1973,NA,NA,NA
Italy,IT,ITA,1974,NA,NA,NA
Italy,IT,ITA,1975,NA,NA,NA
Italy,IT,ITA,1976,NA,NA,NA
Italy,IT,ITA,1977,NA,NA,NA
Italy,IT,ITA,1978,NA,NA,NA
Italy,IT,ITA,1979,NA,NA,NA
Italy,IT,ITA,1980,NA,NA,NA
Italy,IT,ITA,1981,NA,NA,NA
Italy,IT,ITA,1982,NA,NA,NA
Italy,IT,ITA,1983,NA,NA,NA
Italy,IT,ITA,1984,NA,NA,NA
Italy,IT,ITA,1985,NA,NA,NA
Italy,IT,ITA,1986,NA,NA,NA
Italy,IT,ITA,1987,NA,NA,NA
Italy,IT,ITA,1988,4.02248335046708,NA,NA
Italy,IT,ITA,1989,3.83016439462048,NA,NA
Italy,IT,ITA,1990,3.29017935816754,NA,NA
Italy,IT,ITA,1991,3.17938658035328,NA,NA
Italy,IT,ITA,1992,3.00395264453822,NA,NA
Italy,IT,ITA,1993,3.01093015651877,NA,NA
Italy,IT,ITA,1994,3.0301546336717,NA,NA
Italy,IT,ITA,1995,2.83424285313819,8.45182800292969,NA
Italy,IT,ITA,1996,3.07688002659184,8.72720146179199,NA
Italy,IT,ITA,1997,3.27930181196682,9.02195453643799,NA
Italy,IT,ITA,1998,3.4053096591479,9.2203950881958,NA
Italy,IT,ITA,1999,3.55541467432543,9.38837718963623,NA
Italy,IT,ITA,2000,3.73457604206693,9.32159328460693,11.81089973
Italy,IT,ITA,2001,3.53321886966043,9.33592224121094,12.19702244
Italy,IT,ITA,2002,3.64144216008424,9.50787544250488,12.62734509
Italy,IT,ITA,2003,3.61236604001283,9.63621044158936,12.50860596
Italy,IT,ITA,2004,3.57956941551784,9.21776676177979,13.2801733
Italy,IT,ITA,2005,3.38888254301182,9.4085693359375,13.67860889
Italy,IT,ITA,2006,3.18315246905678,9.15353393554688,13.72484303
Italy,IT,ITA,2007,3.09307315471865,9.45093727111816,13.47591782
Italy,IT,ITA,2008,3.21045073151802,8.96302890777588,13.85614204
Italy,IT,ITA,2009,3.04085840104199,8.86478042602539,13.71444511
Italy,IT,ITA,2010,3.00533017765601,8.70691394805908,14.01011372
Italy,IT,ITA,2011,3.00147268139019,8.25843811035156,13.74120235
Italy,IT,ITA,2012,2.8205640548868,8.01842975616455,13.17385483
Italy,IT,ITA,2013,2.74578841236868,8.0210485458374,13.04798126
Italy,IT,ITA,2014,2.52277541156925,7.94235134124756,13.1522131
Italy,IT,ITA,2015,2.40122699828436,7.94384479522705,13.10222912
Italy,IT,ITA,2016,2.71980198614624,7.86237335205078,13.22727776
Italy,IT,ITA,2017,2.78358701543774,7.91769123077393,13.12166309
Italy,IT,ITA,2018,2.80880073071122,8.11164093017578,13.24982357
Italy,IT,ITA,2019,2.70565422878717,8.04736328125,13.16757774
Italy,IT,ITA,2020,3.05888206518286,7.4938817024231,12.85778713
Italy,IT,ITA,2021,3.1135931008563,7.43716192245483,NA
Italy,IT,ITA,2022,3.17443876177658,NA,NA
Japan,JP,JPN,1960,NA,NA,NA
Japan,JP,JPN,1961,NA,NA,NA
Japan,JP,JPN,1962,NA,NA,NA
Japan,JP,JPN,1963,NA,NA,NA
Japan,JP,JPN,1964,NA,NA,NA
Japan,JP,JPN,1965,NA,NA,NA
Japan,JP,JPN,1966,NA,NA,NA
Japan,JP,JPN,1967,NA,NA,NA
Japan,JP,JPN,1968,NA,NA,NA
Japan,JP,JPN,1969,NA,NA,NA
Japan,JP,JPN,1970,NA,NA,NA
Japan,JP,JPN,1971,NA,NA,NA
Japan,JP,JPN,1972,NA,NA,NA
Japan,JP,JPN,1973,NA,NA,NA
Japan,JP,JPN,1974,NA,NA,NA
Japan,JP,JPN,1975,NA,NA,NA
Japan,JP,JPN,1976,NA,NA,NA
Japan,JP,JPN,1977,NA,NA,NA
Japan,JP,JPN,1978,NA,NA,NA
Japan,JP,JPN,1979,NA,NA,NA
Japan,JP,JPN,1980,NA,NA,NA
Japan,JP,JPN,1981,NA,NA,NA
Japan,JP,JPN,1982,NA,NA,NA
Japan,JP,JPN,1983,NA,NA,NA
Japan,JP,JPN,1984,NA,NA,NA
Japan,JP,JPN,1985,NA,NA,NA
Japan,JP,JPN,1986,NA,NA,NA
Japan,JP,JPN,1987,NA,NA,NA
Japan,JP,JPN,1988,3.01965306913231,NA,NA
Japan,JP,JPN,1989,3.08124960569492,NA,NA
Japan,JP,JPN,1990,3.06864140369055,NA,NA
Japan,JP,JPN,1991,3.06741765790194,NA,NA
Japan,JP,JPN,1992,2.98526201516685,NA,NA
Japan,JP,JPN,1993,2.83623979848618,NA,NA
Japan,JP,JPN,1994,2.76337447454063,NA,NA
Japan,JP,JPN,1995,2.69706084575007,NA,NA
Japan,JP,JPN,1996,2.64622324726508,NA,NA
Japan,JP,JPN,1997,2.73420772515385,NA,NA
Japan,JP,JPN,1998,2.39047145305347,NA,NA
Japan,JP,JPN,1999,2.61528804107365,NA,NA
Japan,JP,JPN,2000,2.54790355855006,NA,15.06805801
Japan,JP,JPN,2001,2.64725012318944,NA,15.94543266
Japan,JP,JPN,2002,2.65699201336045,NA,16.06154251
Japan,JP,JPN,2003,2.68290318170404,NA,16.3582077
Japan,JP,JPN,2004,2.75134806492249,NA,17.19595528
Japan,JP,JPN,2005,2.73547073979519,9.32717037200928,17.75488091
Japan,JP,JPN,2006,2.73163525325929,9.39399242401123,17.86665344
Japan,JP,JPN,2007,2.67184044786564,9.41275119781494,18.22702217
Japan,JP,JPN,2008,2.66176386450202,9.1277551651001,18.09814644
Japan,JP,JPN,2009,2.5150689481741,8.93050956726074,18.05703354
Japan,JP,JPN,2010,2.51433216237335,8.78449821472168,18.93296623
Japan,JP,JPN,2011,2.52370831203896,8.53705215454102,21.69265366
Japan,JP,JPN,2012,2.47621830292155,8.50433921813965,22.22449875
Japan,JP,JPN,2013,2.4254314883185,8.46380710601807,22.21854019
Japan,JP,JPN,2014,2.49499036483098,8.53448104858398,22.57162476
Japan,JP,JPN,2015,2.53995917978834,8.37435340881348,23.15028763
Japan,JP,JPN,2016,2.49673620739849,8.19608783721924,23.17672729
Japan,JP,JPN,2017,2.48930795245756,8.15319728851318,24.46199036
Japan,JP,JPN,2018,2.61989418807022,8.12938404083252,24.48934555
Japan,JP,JPN,2019,2.66138829728417,8.14637565612793,24.27664757
Japan,JP,JPN,2020,2.29012106846773,7.29284954071045,20.63316154
Japan,JP,JPN,2021,2.39162145467695,7.42792320251465,NA
Japan,JP,JPN,2022,2.53159308059221,NA,NA
United Kingdom,GB,GBR,1960,NA,NA,NA
United Kingdom,GB,GBR,1961,NA,NA,NA
United Kingdom,GB,GBR,1962,NA,NA,NA
United Kingdom,GB,GBR,1963,NA,NA,NA
United Kingdom,GB,GBR,1964,NA,NA,NA
United Kingdom,GB,GBR,1965,NA,NA,NA
United Kingdom,GB,GBR,1966,NA,NA,NA
United Kingdom,GB,GBR,1967,NA,NA,NA
United Kingdom,GB,GBR,1968,NA,NA,NA
United Kingdom,GB,GBR,1969,NA,NA,NA
United Kingdom,GB,GBR,1970,NA,NA,NA
United Kingdom,GB,GBR,1971,NA,NA,NA
United Kingdom,GB,GBR,1972,NA,NA,NA
United Kingdom,GB,GBR,1973,NA,NA,NA
United Kingdom,GB,GBR,1974,NA,NA,NA
United Kingdom,GB,GBR,1975,NA,NA,NA
United Kingdom,GB,GBR,1976,NA,NA,NA
United Kingdom,GB,GBR,1977,NA,NA,NA
United Kingdom,GB,GBR,1978,NA,NA,NA
United Kingdom,GB,GBR,1979,NA,NA,NA
United Kingdom,GB,GBR,1980,NA,NA,NA
United Kingdom,GB,GBR,1981,NA,NA,NA
United Kingdom,GB,GBR,1982,NA,NA,NA
United Kingdom,GB,GBR,1983,NA,NA,NA
United Kingdom,GB,GBR,1984,NA,NA,NA
United Kingdom,GB,GBR,1985,NA,NA,NA
United Kingdom,GB,GBR,1986,NA,NA,NA
United Kingdom,GB,GBR,1987,NA,NA,NA
United Kingdom,GB,GBR,1988,11.3332918040899,NA,NA
United Kingdom,GB,GBR,1989,11.0634502236766,NA,NA
United Kingdom,GB,GBR,1990,10.4730975993912,NA,NA
United Kingdom,GB,GBR,1991,10.5594863398046,NA,NA
United Kingdom,GB,GBR,1992,9.38089239470594,NA,NA
United Kingdom,GB,GBR,1993,8.7195169590598791,NA,NA
United Kingdom,GB,GBR,1994,8.28515557655702,NA,NA
United Kingdom,GB,GBR,1995,7.57240943876998,11.3720350265503,NA
United Kingdom,GB,GBR,1996,7.62766298130711,11.3914403915405,NA
United Kingdom,GB,GBR,1997,7.35495062934196,11.525050163269,NA
United Kingdom,GB,GBR,1998,7.25602088070617,11.4627780914307,NA
United Kingdom,GB,GBR,1999,7.12508971459071,12.3737344741821,NA
United Kingdom,GB,GBR,2000,6.9648505395956,13.2251052856445,15.61353493
United Kingdom,GB,GBR,2001,6.92207292408158,13.6043968200684,15.91279316
United Kingdom,GB,GBR,2002,6.91735183380197,14.7167654037476,16.36179733
United Kingdom,GB,GBR,2003,6.86561118143854,14.4708662033081,16.42500496
United Kingdom,GB,GBR,2004,6.56376667436567,13.8993368148804,16.79231453
United Kingdom,GB,GBR,2005,6.31396022818637,13.3879680633545,16.60562325
United Kingdom,GB,GBR,2006,6.18318869012024,13.7800807952881,17.30731201
United Kingdom,GB,GBR,2007,6.16252580878196,13.8071508407593,17.22924042
United Kingdom,GB,GBR,2008,6.08820558826397,13.0426292419434,16.64837837
United Kingdom,GB,GBR,2009,5.94956792136061,13.1484518051147,17.32108307
United Kingdom,GB,GBR,2010,5.75833450928461,13.2431955337524,17.09094238
United Kingdom,GB,GBR,2011,5.73539221462299,12.7290105819702,17.62050247
United Kingdom,GB,GBR,2012,5.53636674328506,12.2744722366333,17.65168381
United Kingdom,GB,GBR,2013,5.46083727867526,12.1287822723389,18.14744568
United Kingdom,GB,GBR,2014,5.30106996551845,12.3615922927856,18.47512245
United Kingdom,GB,GBR,2015,5.0734495500073,12.2949190139771,18.70394135
United Kingdom,GB,GBR,2016,5.00292590089719,12.2454032897949,19.07997513
United Kingdom,GB,GBR,2017,4.99285049480969,12.2813653945923,18.92280197
United Kingdom,GB,GBR,2018,5.0074957944585,12.1116199493408,19.1355648
United Kingdom,GB,GBR,2019,5.14134675021302,12.018479347229,19.6361351
United Kingdom,GB,GBR,2020,4.32506487704256,10.7294292449951,19.48142624
United Kingdom,GB,GBR,2021,4.71971039080698,11.2324705123901,NA
United Kingdom,GB,GBR,2022,5.28817152122861,NA,NA
United States,US,USA,1960,NA,NA,NA
United States,US,USA,1961,NA,NA,NA
United States,US,USA,1962,NA,NA,NA
United States,US,USA,1963,NA,NA,NA
United States,US,USA,1964,NA,NA,NA
United States,US,USA,1965,NA,NA,NA
United States,US,USA,1966,NA,NA,NA
United States,US,USA,1967,NA,NA,NA
United States,US,USA,1968,NA,NA,NA
United States,US,USA,1969,NA,NA,NA
United States,US,USA,1970,NA,NA,NA
United States,US,USA,1971,NA,NA,NA
United States,US,USA,1972,NA,17.4885311126709,NA
United States,US,USA,1973,NA,17.7788486480713,NA
United States,US,USA,1974,NA,17.638126373291,NA
United States,US,USA,1975,NA,17.3917331695557,NA
United States,US,USA,1976,NA,17.35178565979,NA
United States,US,USA,1977,NA,16.9860610961914,NA
United States,US,USA,1978,NA,16.5371341705322,NA
United States,US,USA,1979,NA,16.3264541625977,NA
United States,US,USA,1980,NA,15.5543832778931,NA
United States,US,USA,1981,NA,14.8959426879883,NA
United States,US,USA,1982,NA,14.2720994949341,NA
United States,US,USA,1983,NA,13.9664220809937,NA
United States,US,USA,1984,NA,14.067120552063,NA
United States,US,USA,1985,NA,14.0242376327515,NA
United States,US,USA,1986,NA,14.2157745361328,NA
United States,US,USA,1987,NA,14.4408807754517,NA
United States,US,USA,1988,NA,14.8521461486816,NA
United States,US,USA,1989,NA,15.197395324707,NA
United States,US,USA,1990,NA,15.2107429504395,NA
United States,US,USA,1991,NA,15.3581209182739,NA
United States,US,USA,1992,NA,15.1028280258179,NA
United States,US,USA,1993,NA,15.2748746871948,NA
United States,US,USA,1994,NA,15.5527353286743,NA
United States,US,USA,1995,NA,15.8898735046387,NA
United States,US,USA,1996,NA,16.1000061035156,NA
United States,US,USA,1997,NA,16.6120166778564,NA
United States,US,USA,1998,NA,17.134729385376,NA
United States,US,USA,1999,NA,17.5550212860107,NA
United States,US,USA,2000,NA,17.9881553649902,16.16168976
United States,US,USA,2001,NA,17.6896095275879,16.76021576
United States,US,USA,2002,NA,17.3132019042969,17.22068214
United States,US,USA,2003,NA,16.981616973877,17.50411797
United States,US,USA,2004,NA,16.9619560241699,17.92405891
United States,US,USA,2005,NA,16.6988105773926,17.93626595
United States,US,USA,2006,NA,16.8092250823975,18.56688309
United States,US,USA,2007,NA,16.7058124542236,18.49702644
United States,US,USA,2008,NA,16.2201328277588,18.20562363
United States,US,USA,2009,NA,15.6010618209839,18.19612122
United States,US,USA,2010,NA,15.5616855621338,18.39752197
United States,US,USA,2011,NA,15.5074806213379,18.85215759
United States,US,USA,2012,NA,15.5992212295532,19.63472557
United States,US,USA,2013,NA,16.0246276855469,20.36674309
United States,US,USA,2014,NA,16.0046138763428,21.48475075
United States,US,USA,2015,NA,16.0524635314941,22.30613899
United States,US,USA,2016,NA,15.9738168716431,22.41881561
United States,US,USA,2017,NA,15.9008255004883,22.49243736
United States,US,USA,2018,NA,15.7807312011719,22.51026154
United States,US,USA,2019,NA,15.5171337127686,22.49646759
United States,US,USA,2020,NA,12.6542158126831,22.35279655
United States,US,USA,2021,NA,NA,NA
United States,US,USA,2022,NA,NA,NA
